form	lemma	POS	morph
མཆན་	མཆན་	NOUN
།		PUNCT
ལེའུུ་		NON_WORD
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
མངོན་སུམ་	མངོན་སུམ་	NOUN
།		PUNCT
		
སྡེ་	སྡེ་	NOUN
དགེན་		NON_WORD
།		PUNCT
		
རྒྱ་ཚད་	རྒྱ་ཚད་	NOUN
མ་	མ་	PART
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
ཡིན་	ཡིན་	NO_POS
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
མིན་	མིན་	AUX
།		PUNCT
ཅེས་	ཅེས་	PART
གསལ་	གསལ་	VERB
།		PUNCT
		
སྡེ་དགེ་	སྡེ་དགེ་	OTHER
ར་	ལ་	PART
།		PUNCT
ན་	ལ་	PART
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
མིན་	མིན་	AUX
།		PUNCT
		
རྒྱ་དཔེ་	རྒྱ་དཔེ་	NOUN
ར་	ལ་	PART
ཤློཀ་		NON_WORD
གཅིག་	གཅིག་	NUM
ལ་	ལ་	PART
བོད་	བོད་	PROPN
འགྱུར་ཚིག་	འགྱུར་ཚིག་	NO_POS
རྐང་གསུམ་	རྐང་གསུམ་	NO_POS
དུ་	ལ་	PART
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
སྣང་	སྣང་	VERB
།		PUNCT
		
སྡེ་	སྡེ་	NOUN
དགེཁ་		NON_WORD
ལ་	ལ་	PART
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
རྗེས་དཔག་	རྗེས་དཔག་	OTHER
		
སྡེ་	སྡེ་	NOUN
དགེནི་		NON_WORD
།		PUNCT
		
རྒྱ་དཔེ་	རྒྱ་དཔེ་	NOUN
ར་	ལ་	PART
ཤློཀ་		NON_WORD
གཅིག་	གཅིག་	NUM
ལ་	ལ་	PART
བོད་	བོད་	PROPN
འགྱུར་ཚིག་	འགྱུར་ཚིག་	NO_POS
རྐང་	རྐང་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
སྣང་	སྣང་	VERB
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
ནི་	ནི་	NO_POS
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
འགྱུར་	འགྱུར་	VERB
།		PUNCT
		
རྒྱ་དཔེ་	རྒྱ་དཔེ་	NOUN
ར་	ལ་	PART
ཤློཀ་		NON_WORD
གཅིག་	གཅིག་	NUM
ལ་	ལ་	PART
བོད་	བོད་	PROPN
འགྱུར་ཚིག་	འགྱུར་ཚིག་	NO_POS
རྐང་	རྐང་	NOUN
དྲུག་	དྲུག་	NUM
ཏུ་	ལ་	PART
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
སྣང་	སྣང་	VERB
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
བ་	བ་	X
འོ་	གོ་	PART
།།		PUNCT
		
རྒྱ་དཔེ་	རྒྱ་དཔེ་	NOUN
ར་	ལ་	PART
།		PUNCT
དེ་	སྟེ་	PART
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
གྲུབ་	གྲུབ་	VERB
ཊཱིཀ་		NON_WORD
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
།		PUNCT
གསལ་	གསལ་	VERB
།		PUNCT
		
ཚད་མ་	ཚད་མ་	NOUN
རིགས་	རིགས་	NOUN
གཞུང་	གཞུང་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
ཚིག་རྐང་	ཚིག་རྐང་	OTHER
